Province/State,Country/Region,lat,lon,iso2,state_name,state_id,population,population_proper,fatur,compras,funcion,clientes,chamados,status,modelo
Santiago,Chile,-33.450000,-70.666667,CL,Región Metropolitana,RM,5720000,46611,150154,15015,6,400,9,A,premium
Concepción,Chile,-36.812969,-73.048457,CL,Biobío,BI,889725,212003,75846,7585,5,333,6,A,smart
Valparaíso,Chile,-33.046983,-71.607977,CL,Valparaíso,VS,854000,15938,68541,6854,5,333,7,A,express
Viña del Mar,Chile,-33.016919,-71.549366,CL,Valparaíso,VS,503534,294551,65845,6585,5,333,5,A,premium
Antofagasta,Chile,-23.652357,-70.395402,CL,Antofagasta,AN,309832,281246,61542,6154,5,333,4,A,smart
Talcahuano,Chile,-36.724943,-73.116841,CL,Biobío,BI,288074,252968,54128,5413,4,267,7,A,smart
Temuco,Chile,-38.739649,-72.598416,CL,Araucanía,AR,265901,238129,55845,5585,5,333,4,A,smart
San Bernardo,Chile,-33.592175,-70.699602,CL,Región Metropolitana,RM,246762,241138,36485,3649,5,333,2,A,premium
Rancagua,Chile,-34.170830,-70.744440,CL,Libertador General Bernardo O’Higgins,LI,233268,212695,65987,6599,5,333,4,A,express
Iquique,Chile,-20.220358,-70.139131,CL,Tarapacá,TA,227499,218525,0,0,0,0,0,N,express
Talca,Chile,-35.426401,-71.655415,CL,Maule,ML,197479,175088,0,0,0,0,0,N,express
Arica,Chile,-18.474600,-70.297923,CL,Arica y Parinacota,AP,185999,170894,0,0,0,0,0,I,express
Puerto Montt,Chile,-41.465742,-72.942891,CL,Los Lagos,LL,174629,160054,0,0,0,0,0,I,express
Coquimbo,Chile,-29.953317,-71.339473,CL,Coquimbo,CO,161317,156848,38659,3866,5,333,6,A,express
Valdivia,Chile,-39.827598,-73.224246,CL,Los Ríos,LR,159599,133419,46852,4685,6,400,7,A,express
La Serena,Chile,-29.904529,-71.248935,CL,Coquimbo,CO,154521,148059,0,0,0,0,0,I,express
Osorno,Chile,-40.573948,-73.133478,CL,Los Lagos,LL,154131,135773,0,0,0,0,0,N,express
Copiapó,Chile,-27.366787,-70.331402,CL,Atacama,AT,129280,105353,0,0,0,0,0,I,smart
Coronel,Chile,-37.033862,-73.140193,CL,Biobío,BI,92940,64249,35124,3512,6,400,2,A,premium
Linares,Chile,-35.846667,-71.593079,CL,Maule,ML,81015,69535,29854,2985,6,400,2,A,smart
Quillota,Chile,-32.883405,-71.248818,CL,Valparaíso,VS,79686,67779,26587,2659,6,400,3,A,express
Ovalle,Chile,-30.601061,-71.199014,CL,Coquimbo,CO,77138,68830,21254,2125,7,467,6,A,premium
San Fernando,Chile,-34.587982,-70.985257,CL,Libertador General Bernardo O’Higgins,VO,60746,60746,0,0,0,0,0,N,smart
San Felipe,Chile,-32.749761,-70.725839,CL,Valparaíso,VS,59294,39219,0,0,0,0,0,I,smart
Los Andes,Chile,-32.832969,-70.597672,CL,Valparaíso,VS,56859,49411,0,0,0,0,0,I,smart
Lota Alto,Chile,-37.078733,-73.156260,CL,Biobío,BI,49763,15641,28568,2857,6,400,7,A,premium
Coyhaique,Chile,-45.576352,-72.062055,CL,Aysén,AI,45787,40655,19458,1946,7,467,8,A,express
Vallenar,Chile,-28.576173,-70.759377,CL,Atacama,AT,44895,30858,0,0,0,0,0,I,express
Illapel,Chile,-31.633487,-71.169668,CL,Coquimbo,CO,26340,22816,38989,3899,5,333,6,A,smart
La Unión,Chile,-40.293130,-73.081669,CL,Los Ríos,LR,26298,19388,34545,3455,8,533,7,A,smart
Puerto Varas,Chile,-41.319461,-72.985378,CL,Los Lagos,LL,24958,14180,23121,2312,7,467,8,A,smart
Victoria,Chile,-38.232910,-72.332918,CL,Araucanía,AR,24555,11424,29598,2960,6,400,9,A,smart
Tocopilla,Chile,-22.091980,-70.197920,CL,Antofagasta,AN,24460,20251,0,0,0,0,0,N,premium
Lebu,Chile,-37.608246,-73.653564,CL,Biobío,BI,22345,10904,0,0,0,0,0,I,premium
Salamanca,Chile,-31.779222,-70.963892,CL,Coquimbo,CO,20214,13265,0,0,0,0,0,I,premium
Puerto Bories,Chile,-51.691501,-72.535710,CL,Magallanes y de la Antártica Chilena,MA,20000,6584,59595,5960,6,400,5,A,smart
Nueva Imperial,Chile,-38.744513,-72.950253,CL,Araucanía,AR,18777,7868,58585,5859,6,400,8,A,express
Diego de Almagro,Chile,-26.366667,-70.050000,CL,Atacama,AT,18137,18137,0,0,0,0,0,I,premium
Collipulli,Chile,-37.954531,-72.434377,CL,Araucanía,AR,16392,6223,0,0,0,0,0,N,smart
Los Lagos,Chile,-39.861843,-72.816870,CL,Los Ríos,LR,12813,12813,0,0,0,0,0,I,express
Alto Calbuco,Chile,-41.782351,-73.139450,CL,Los Lagos,LL,12490,1377,0,0,0,0,0,I,express
Chuquicamata,Chile,-22.315807,-68.928984,CL,Antofagasta,AN,11941,11941,88888,8889,7,467,9,A,express
Carahue,Chile,-38.711217,-73.161007,CL,Araucanía,AR,11875,5309,84544,8454,6,400,8,A,express
Pichilemu,Chile,-34.388425,-72.000975,CL,Libertador General Bernardo O’Higgins,LI,11603,11603,65656,6566,5,333,9,A,express
Pozo Almonte,Chile,-20.255848,-69.786301,CL,Tarapacá,TA,10830,10830,54548,5455,5,333,7,A,express
Calderilla,Chile,-27.088858,-70.856943,CL,Atacama,AT,10259,10259,0,0,0,0,0,N,express
Lonquimay,Chile,-38.432979,-71.235745,CL,Araucanía,AR,10237,6802,0,0,0,0,0,I,smart
Taltal,Chile,-25.408725,-70.483577,CL,Antofagasta,AN,10018,7877,0,0,0,0,0,I,smart
Puerto Aisén,Chile,-45.403030,-72.691839,CL,Aysén,AI,8067,8067,55151,5515,6,400,6,A,smart
