Province/State,Country/Region,lat,lon,iso2,state_name,state_id,population,population_proper,fatur,compras,funcion,clientes,chamados,status,modelo
Madrid,Spain,40.412752,-3.707721,ES,Madrid,M ,5567000,50437,65658,6566,3,58,2,A,smart
Barcelona,Spain,41.398371,2.174100,ES,Catalonia,B,4920000,1581595,98989,9898,4,65,1,A,premium
Sevilla,Spain,37.382826,-5.973167,ES,Andalusia,SE,1212045,703021,85857,8585,5,95,5,A,express
Bilbao,Spain,43.260919,-2.938764,ES,Basque Country,BI,875552,353187,0,0,0,0,0,I,smart
Valencia,Spain,39.466667,-0.366667,ES,Valencia,V,808000,805304,0,0,0,0,0,N,premium
Zaragoza,Spain,41.645310,-0.884861,ES,Aragon,Z,649404,448507,0,0,0,0,0,N,smart
Málaga,Spain,36.726666,-4.434802,ES,Andalusia,MA,550058,528705,0,0,0,0,0,I,smart
Murcia,Spain,37.987041,-1.130042,ES,Murcia,MU,406807,329838,98985,9899,4,60,2,A,premium
Granada,Spain,37.178354,-3.599201,ES,Andalusia,GR,388290,238248,54548,5455,4,73,2,A,premium
Vigo,Spain,42.232823,-8.722637,ES,Galicia,PO,378952,292745,0,0,0,0,0,I,smart
Palma,Spain,39.574337,2.655222,ES,Balearic Islands,IB,375773,264129,58745,5875,4,69,2,A,smart
A Coruña,Spain,43.366609,-8.406812,ES,Galicia,C,370610,242619,59874,5987,4,67,2,A,premium
Santa María de Gracia,Spain,28.466667,-16.266667,ES,Canary Islands,,336061,222190,0,0,0,0,0,I,smart
Gijón,Spain,43.535731,-5.661519,ES,Asturias,O,335972,271452,0,0,0,0,0,I,smart
Valladolid,Spain,41.655181,-4.723720,ES,Castille-Leon,VA,322304,276443,65458,6546,4,60,2,A,smart
Córdoba,Spain,37.891550,-4.772748,ES,Andalusia,CO,321376,279648,0,0,0,0,0,N,smart
Cádiz,Spain,36.515789,-6.279692,ES,Andalusia,AN,283157,24708,84578,8458,4,70,2,A,express
Pamplona,Spain,42.814075,-1.641153,ES,Navarre,NA,274545,193166,36541,3654,3,54,2,A,express
Oviedo,Spain,43.363223,-5.853128,ES,Asturias,O,235651,211398,0,0,0,0,0,I,express
Zuazo de Vitoria,Spain,42.839797,-2.722069,ES,Basque Country,PV,224578,173641,0,0,0,0,0,I,express
Santander,Spain,43.464722,-3.804444,ES,Cantabria,CB,208763,183288,65236,6524,3,54,2,A,express
Cartagena,Spain,37.605121,-0.986232,ES,Murcia,MU,201274,131279,65987,6599,3,54,2,A,express
Marbella,Spain,36.510485,-4.885745,ES,Andalusia,MA,186131,120008,78456,7846,16,274,8,A,express
Mataró,Spain,41.542113,2.444503,ES,Catalonia,B,183293,116359,48598,4860,3,51,2,A,express
Salamanca,Spain,40.968100,-5.662020,ES,Castille-Leon,SA,162353,158560,58455,5846,3,52,2,A,express
Albacete,Spain,38.995845,-1.857773,ES,Castille-La Mancha,AB,158094,97100,98885,9889,3,54,2,A,express
Huelva,Spain,37.266385,-6.940044,ES,Andalusia,H,144174,95290,68886,6889,0,0,0,N,express
Logroño,Spain,42.466667,-2.450000,ES,La Rioja,LO,143698,104139,48745,4875,3,54,2,A,express
Badajoz,Spain,38.877894,-6.970613,ES,Extremadura,BA,140133,91144,0,0,0,0,0,I,express
León,Spain,42.600031,-5.570316,ES,Castille-Leon,LE,136227,133801,55874,5587,3,52,2,A,express
Tarragona,Spain,41.116667,1.250000,ES,Catalonia,CT,126291,89624,66985,6699,3,54,2,A,express
Ourense,Spain,42.331342,-7.862711,ES,Galicia,GA,118107,108083,55847,5585,3,53,2,A,express
Jaén,Spain,37.772404,-3.790130,ES,Andalusia,AN,116400,69418,16542,1654,4,73,2,A,smart
Algeciras,Spain,36.133257,-5.450511,ES,Andalusia,AN,111027,102348,0,0,0,0,0,I,express
Santiago de Compostela,Spain,42.880035,-8.544826,ES,Galicia,GA,92430,83012,35654,3565,3,51,2,A,express
Lorca,Spain,37.671192,-1.701699,ES,Murcia,MU,86119,26964,0,0,0,0,0,I,express
Toledo,Spain,39.867263,-4.029810,ES,Castille-La Mancha,TO,74632,33125,36522,3652,3,53,2,A,express
