city,unidade,lat,lng,country,iso2,state_name,state_id,population,population_proper,fatur,compras,funcion,clientes,chamados,status,modelo
S?o Paulo,S?o Paulo,"-23,573252","-46,641681",Brazil,BR,S?o Paulo,SP,18845000,10021295,9898989,155037,31,527,16,A,premium
Salvador,Salvador,"-12,983333","-38,516667",Brazil,BR,Bahia,BA,3484000,2678845,521062,52106,13,228,7,A,premium
Bras?lia,Bras?lia,"-15,783333","-47,916667",Brazil,BR,Distrito Federal,DF,3716996,2562963,6521,652,16,273,8,A,premium
Belo Horizonte,Belo Horizonte,"-19,901739","-43,964196",Brazil,BR,Minas Gerais,MG,5575000,2373224,830256,83026,20,333,10,A,premium
Fortaleza,Fortaleza,"-3,737464","-38,546167",Brazil,BR,Cear?,CE,3602319,2315116,352645,35265,10,171,5,A,premium
Rio de Janeiro,Rio de Janeiro,"-22,875113","-43,277548",Brazil,BR,Rio de Janeiro,RJ,11748000,2010175,950256,95026,22,374,11,A,premium
Manaus,Manaus,"-3,113333","-60,025278",Brazil,BR,Amazonas,AM,1753000,1520244,65485,6549,4,73,2,A,smart
Curitiba,Curitiba,"-25,4295963","-49,2712724",Brazil,BR,Paran?,PR,3084000,1498860,321564,32156,9,160,5,A,premium
Recife,Recife,"-8,0584933","-34,8848193",Brazil,BR,Pernambuco,PE,3651000,1478098,542658,54266,14,236,7,A,premium
Bel?m,Bel?m,"-1,437281","-48,470614",Brazil,BR,Par?,PA,2167000,1407737,412523,41252,11,191,6,A,premium
Porto Alegre,Porto Alegre,"-30,0324999","-51,2303767",Brazil,BR,Rio Grande do Sul,RS,3917000,1372741,754125,75413,18,307,9,A,premium
Goi?nia,Goi?nia,"-16,701028","-49,266793",Brazil,BR,Goi?s,GO,2022000,1171195,5321,532,4,69,2,A,premium
Campinas,Campinas,"-22,909474","-47,067415",Brazil,BR,S?o Paulo,SP,2791000,1031554,856254,85625,20,342,10,A,premium
Natal AM,Natal AM,"-6,983333","-60,283333",Brazil,BR,Amazonas,AM,980588,980588,32567,3257,4,62,2,A,smart
Macei?,Macei?,"-9,652406","-35,722433",Brazil,BR,Alagoas,AL,1186000,814431,65325,6533,4,73,2,A,smart
Natal RN,Natal RN,"-5,80021","-35,210669",Brazil,BR,Rio Grande do Norte,RN,1088000,763043,21212,2121,3,58,2,A,smart
Santo Andr?,Santo Andr?,"-23,666667","-46,516667",Brazil,BR,S?o Paulo,SP,662373,662373,0,0,0,0,0,I,premium
Jaboat?o,Jaboat?o,"-8,116667","-35,016667",Brazil,BR,Pernambuco,PE,702621,659807,0,0,0,0,0,N,express
Jo?o Pessoa,Jo?o Pessoa,"-7,123742","-34,865646",Brazil,BR,Para?ba,PB,956000,650883,0,0,0,0,0,I,smart
S?o Jos? dos Campos,S?o Jos? dos Campos,"-23,191165","-45,878405",Brazil,BR,S?o Paulo,SP,753769,636876,0,0,0,0,0,N,premium
Campo Grande,Campo Grande,"-20,4640173","-54,6162947",Brazil,BR,Mato Grosso do Sul,MS,778000,597446,0,0,0,0,0,N,smart
Teresina,Teresina,"-5,102887","-42,801549",Brazil,BR,Piau?,PI,907000,586721,0,0,0,0,0,I,smart
Sorocaba,Sorocaba,"-23,501667","-47,458056",Brazil,BR,S?o Paulo,SP,563281,558862,25125,2513,4,60,2,A,premium
Ribeir?o Pr?to,Ribeir?o Pr?to,"-21,179426","-47,799874",Brazil,BR,S?o Paulo,SP,551267,490281,65412,6541,4,73,2,A,premium
Aracaju,Aracaju,"-10,916667","-37,066667",Brazil,BR,Sergipe,SE,685356,490175,0,0,0,0,0,I,smart
Niter?i,Niter?i,"-22,887107","-43,090889",Brazil,BR,Rio de Janeiro,RJ,1500513,487327,54125,5413,4,69,2,A,smart
